codigo_barras,nome_produto,descricao
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,"LEITE SHEFA 1 I(2,11)"
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV TIROL 1LT SEMI
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE TP SHEFA GFA 1L INTEGRAL
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GF 1LT SE
7896256600339,LEITE UHT INTEGRAL TIROL TP CAIXA 12 X 1000ML,LEITE LONGA VIDA TIROL 1L INTEGRAL
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GFA 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEIT SHEFA SEMIDES1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA 1L UN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL UHT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA 1 LT INTEGRAL GFA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GFA 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LTE L.VIDA SH
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LONGA VIDA TIRO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL LEITE UHT 1L I
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GFA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA SEMI DESNATADO GFA 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT INT. 1 L SHEFA GARRAFA
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.VIDA TIROL 1LT INTEGR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA GFA INTEGRA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INT.GF
7896569400206,LEITE UHT INTEGRAL LIDER TP 1000ML,##04012010#LEITE LIDER INT. 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA DES G 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GFA 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT INTEGRAL
7896569400206,LEITE UHT INTEGRAL LIDER TP 1000ML,LEITE LIDER 1L TP INT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,"LEITE SHEFA 1 I(0,37)"
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV TIROL 1L DESNAT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,###LEITE LV TIROL INTEGRAL 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,SHE LEITE UHT SHEFA I
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNATADO 1L PET
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,38)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L DESNATA.
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,L LIDER INTEGR C 12U
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,[PROMOCAO] LEITE SHEFA
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE 1LT TIROL INTE
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE LIDER DES.1
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE UHT TIROL SEMI DESN 1LT
7896185312433,LEITE UHT ZERO LACTOSE SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA ZERO 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,L V TIROL INT 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA INTEG GARRA 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE PET SHEFA 1LT
